name,contact,position,street,city,region,zip,country,phone,fax
Digitube,dcoggell0@mapquest.com,Europe/Berlin,627 East Park,Augsburg,Bayern,86156,Germany,+49 512 546 6036,+93 763 885 1772
Oyonder,cchurchyard1@economist.com,Europe/Vienna,50791 Donald Hill,Altenberg bei Linz,Oberösterreich,4210,Austria,+43 600 753 9428,+380 399 694 9718
Kare,gcerie2@ask.com,Europe/Berlin,7 Golf Point,Augsburg,Bayern,86156,Germany,+49 773 304 8725,+62 294 455 9990
Yabox,bloiterton3@feedburner.com,Europe/Berlin,39 Spohn Trail,München,Bayern,80804,Germany,+49 412 911 2771,+62 409 102 0202
Twitterlist,rmclukie4@craigslist.org,Europe/Berlin,4277 Southridge Place,München,Bayern,81373,Germany,+49 908 658 9823,+84 285 561 9448
InnoZ,bolliver5@etsy.com,Europe/Berlin,077 Gale Road,Nürnberg,Bayern,90451,Germany,+49 857 115 6781,+82 982 422 8761
Lazz,esissons6@issuu.com,Europe/Berlin,72112 Riverside Park,Nürnberg,Bayern,90411,Germany,+49 267 192 3826,+62 838 310 8932
Wordtune,gbenedetti7@a8.net,Europe/Berlin,15548 Loomis Plaza,München,Bayern,80337,Germany,+49 889 932 8529,+46 520 141 1387
BlogXS,mhearle8@microsoft.com,Europe/Berlin,23 6th Drive,Nürnberg,Bayern,90480,Germany,+49 379 827 5647,+420 998 895 2475
Tagfeed,cjordon9@cornell.edu,Europe/Berlin,3 Kinsman Hill,München,Bayern,81543,Germany,+49 367 177 4445,+86 935 259 7062
Skipstorm,lmuroa@dion.ne.jp,Europe/Berlin,22 Helena Park,Augsburg,Bayern,86156,Germany,+49 526 473 7317,+976 569 175 2089
Babblestorm,rsturmeyb@macromedia.com,Europe/Vienna,528 Colorado Plaza,Niederwaldkirchen,Oberösterreich,4174,Austria,+43 521 215 6418,+55 367 763 4139
Gabtype,cjouannotc@comsenz.com,Europe/Vienna,84 Messerschmidt Plaza,Zwettl,Niederösterreich,3923,Austria,+43 817 994 8972,+86 670 779 2128
Zoonoodle,sdabelld@dyndns.org,Europe/Vienna,5 Cordelia Junction,Altenberg bei Linz,Oberösterreich,4210,Austria,+43 865 528 6373,+994 387 982 2917
Camido,dmattise@bloomberg.com,Europe/Berlin,4523 Nova Drive,Würzburg,Bayern,97078,Germany,+49 293 876 7111,+86 718 852 9739
