id,firm,street,city,region,zip,country,orderDate,shippingDate,shippingCosts
1,Eazzy,090 Kings Street,München,Bayern,81543,Germany,14-03-2023,30-09-2022,9.94
2,Eazzy,86 Merchant Hill,Würzburg,Bayern,97078,Germany,25-11-2022,03-05-2022,5.28
3,Skyndu,2 Sloan Plaza,München,Bayern,81543,Germany,29-11-2022,26-09-2022,9.28
4,Jaxnation,506 Nobel Park,München,Bayern,80804,Germany,01-10-2022,28-09-2022,9.51
5,Vinte,2 Kinsman Way,Nürnberg,Bayern,90411,Germany,06-05-2022,12-10-2022,8.0
6,Tagfeed,8 Moland Court,Würzburg,Bayern,97078,Germany,21-12-2022,05-07-2022,6.05
7,Flipbug,4 International Street,Nürnberg,Bayern,90480,Germany,22-03-2023,06-12-2022,5.3
8,Mynte,86 Merry Terrace,München,Bayern,81679,Germany,19-03-2023,19-11-2022,6.96
9,Jayo,023 Valley Edge Circle,München,Bayern,81543,Germany,11-08-2022,12-03-2023,5.15
10,Aivee,6851 Jay Parkway,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,16-04-2022,13-07-2022,7.61
11,Babbleblab,622 Jackson Drive,München,Bayern,80995,Germany,17-05-2022,01-05-2022,9.9
12,Meeveo,5 Grasskamp Road,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,07-08-2022,08-04-2023,6.43
13,Skyba,9 Mcguire Parkway,Augsburg,Bayern,86156,Germany,09-06-2022,20-07-2022,5.85
14,Brightdog,194 Stuart Drive,Nürnberg,Bayern,90451,Germany,01-02-2023,14-02-2023,7.58
15,Feedbug,1 Marcy Place,München,Bayern,80686,Germany,06-03-2023,09-06-2022,9.75
16,Skimia,76485 Monica Street,Zwettl,Niederösterreich,3923,Austria,01-09-2022,07-04-2023,6.98
17,Kazu,50 American Ash Road,Zwettl,Niederösterreich,3923,Austria,31-03-2023,21-02-2023,7.74
18,Feedbug,114 Sunnyside Point,München,Bayern,81679,Germany,12-03-2023,30-04-2022,7.54
19,Topiclounge,7264 Cody Trail,München,Bayern,81373,Germany,24-10-2022,18-03-2023,9.29
20,Yakitri,5 Nelson Street,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,24-07-2022,18-07-2022,5.3
21,Oodoo,12437 Hauk Junction,Würzburg,Bayern,97078,Germany,07-04-2023,28-09-2022,9.6
22,Tagopia,76714 Petterle Court,Augsburg,Bayern,86156,Germany,05-01-2023,21-02-2023,7.9
23,Divavu,8 Vahlen Way,München,Bayern,80686,Germany,16-12-2022,05-04-2023,5.66
24,Quimm,60784 Aberg Street,München,Bayern,80804,Germany,25-08-2022,05-10-2022,7.27
25,Buzzdog,4367 Emmet Place,Nürnberg,Bayern,90411,Germany,26-12-2022,05-02-2023,6.97
26,Jabbertype,7609 Crowley Place,München,Bayern,81679,Germany,25-05-2022,15-07-2022,5.06
27,Livetube,232 Elgar Hill,Würzburg,Bayern,97078,Germany,19-08-2022,31-05-2022,7.89
28,Skipfire,4615 Bowman Terrace,Nürnberg,Bayern,90451,Germany,03-04-2023,21-05-2022,8.22
29,Realbridge,707 Stoughton Alley,München,Bayern,81679,Germany,06-08-2022,17-09-2022,9.32
30,Kimia,52 Schurz Crossing,München,Bayern,81373,Germany,10-12-2022,10-05-2022,8.32
31,Yabox,644 Tomscot Road,Nürnberg,Bayern,90411,Germany,03-02-2023,17-02-2023,7.77
32,Yambee,69 Sycamore Parkway,Würzburg,Bayern,97078,Germany,02-07-2022,04-12-2022,6.96
33,Kaymbo,7830 Crest Line Park,München,Bayern,81373,Germany,21-11-2022,16-12-2022,7.28
34,Riffwire,2993 American Ash Way,München,Bayern,80804,Germany,31-07-2022,28-07-2022,8.94
35,Flashdog,62 Helena Junction,München,Bayern,81679,Germany,21-08-2022,15-01-2023,7.82
36,Fivechat,02 Westport Trail,Nürnberg,Bayern,90480,Germany,22-08-2022,02-10-2022,6.94
37,Oba,23 Brentwood Parkway,Nürnberg,Bayern,90411,Germany,08-03-2023,20-12-2022,7.09
38,Jaloo,03011 Riverside Junction,Zwettl,Niederösterreich,3923,Austria,05-08-2022,22-07-2022,9.13
39,Plajo,44 Blue Bill Park Park,München,Bayern,81679,Germany,05-01-2023,28-07-2022,8.79
40,Tagpad,183 Morningstar Point,Augsburg,Bayern,86156,Germany,26-06-2022,27-03-2023,9.2
41,Zooxo,01 Hauk Parkway,München,Bayern,81543,Germany,04-10-2022,13-07-2022,9.08
42,Zoombox,59741 Warbler Point,Augsburg,Bayern,86156,Germany,13-10-2022,04-02-2023,6.72
43,Shufflebeat,525 Fuller Circle,München,Bayern,80686,Germany,25-06-2022,22-11-2022,6.74
44,Babbleopia,3324 Mccormick Crossing,Wien,Wien,1200,Austria,27-07-2022,08-05-2022,5.49
45,Fadeo,1 Fulton Alley,München,Bayern,80804,Germany,19-11-2022,29-10-2022,8.26
46,Tazz,4926 Rowland Terrace,München,Bayern,81543,Germany,20-08-2022,09-02-2023,7.28
47,Topicstorm,04 Almo Terrace,München,Bayern,81373,Germany,18-12-2022,20-05-2022,7.17
48,Dynabox,769 Jay Park,München,Bayern,80337,Germany,21-07-2022,15-03-2023,7.86
49,Midel,60 Dennis Way,Nürnberg,Bayern,90480,Germany,22-11-2022,13-03-2023,8.69
50,Dynabox,02 Schlimgen Lane,München,Bayern,81373,Germany,19-09-2022,22-04-2022,9.59
51,Brainverse,015 Bobwhite Crossing,München,Bayern,80337,Germany,27-08-2022,06-05-2022,7.0
52,Brainsphere,0894 Sherman Alley,München,Bayern,80337,Germany,24-01-2023,25-11-2022,8.41
53,Shufflebeat,9221 Morningstar Crossing,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,24-03-2023,08-09-2022,5.18
54,Kwilith,57688 Schurz Park,München,Bayern,80995,Germany,19-05-2022,17-04-2022,9.04
55,Skinder,88871 Mendota Drive,Nürnberg,Bayern,90411,Germany,12-06-2022,29-07-2022,5.07
56,Plambee,942 Sundown Pass,Nürnberg,Bayern,90411,Germany,04-01-2023,06-10-2022,7.58
57,Photofeed,58 Dakota Lane,Zwettl,Niederösterreich,3923,Austria,09-06-2022,31-10-2022,7.93
58,Flashspan,67 Eliot Street,München,Bayern,80337,Germany,23-08-2022,12-07-2022,6.2
59,Gabcube,2 Cherokee Park,München,Bayern,81543,Germany,12-02-2023,20-09-2022,5.51
60,Jaxworks,345 Anderson Center,München,Bayern,80337,Germany,12-09-2022,05-10-2022,9.59
61,Riffwire,1 Clemons Way,München,Bayern,80337,Germany,19-10-2022,26-11-2022,7.87
62,Yombu,15577 Anhalt Place,München,Bayern,80337,Germany,07-11-2022,20-09-2022,8.97
63,Thoughtbridge,4397 Lindbergh Place,Augsburg,Bayern,86156,Germany,26-09-2022,31-10-2022,5.59
64,Blogtag,8962 Debra Alley,München,Bayern,80337,Germany,10-04-2022,31-08-2022,6.6
65,Demimbu,100 Heath Street,München,Bayern,80804,Germany,30-12-2022,09-06-2022,9.31
66,Topicshots,704 Elka Lane,Nürnberg,Bayern,90411,Germany,20-07-2022,03-08-2022,9.15
67,Zoonder,2 Warrior Lane,München,Bayern,81679,Germany,03-02-2023,24-01-2023,9.09
68,Kare,341 Crowley Alley,München,Bayern,80995,Germany,05-05-2022,14-08-2022,6.69
69,Kamba,25814 Forest Dale Street,Zwettl,Niederösterreich,3923,Austria,16-10-2022,17-04-2022,7.96
70,Mudo,9494 Thompson Park,München,Bayern,80995,Germany,03-06-2022,28-04-2022,9.94
71,Realbuzz,043 Monterey Way,Nürnberg,Bayern,90480,Germany,28-06-2022,17-10-2022,9.75
72,Bubblebox,5 Di Loreto Court,Nürnberg,Bayern,90451,Germany,21-11-2022,27-09-2022,5.89
73,Photofeed,70702 Saint Paul Alley,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,15-03-2023,02-08-2022,7.42
74,Babblestorm,22 Menomonie Point,Augsburg,Bayern,86156,Germany,01-04-2023,12-12-2022,9.4
75,Bluezoom,3522 Doe Crossing Terrace,Augsburg,Bayern,86156,Germany,17-10-2022,07-05-2022,8.78
76,Thoughtbridge,3 Riverside Circle,Wien,Wien,1200,Austria,11-07-2022,12-01-2023,7.6
77,Skyvu,05222 Hollow Ridge Alley,Würzburg,Bayern,97078,Germany,10-05-2022,13-05-2022,9.76
78,Demizz,41399 Forest Terrace,Würzburg,Bayern,97078,Germany,23-02-2023,29-01-2023,7.62
79,Trilith,6 Arrowood Plaza,Nürnberg,Bayern,90480,Germany,26-01-2023,04-02-2023,6.3
80,Edgepulse,644 Messerschmidt Terrace,Zwettl,Niederösterreich,3923,Austria,11-09-2022,26-04-2022,5.84
81,Shuffletag,07 Badeau Alley,München,Bayern,80686,Germany,02-04-2023,10-03-2023,9.71
82,Yodel,415 West Crossing,München,Bayern,80804,Germany,17-03-2023,24-09-2022,9.28
83,Flashpoint,4 Manitowish Alley,Nürnberg,Bayern,90411,Germany,23-01-2023,17-05-2022,5.46
84,Dazzlesphere,7 Bluejay Trail,Nürnberg,Bayern,90480,Germany,06-05-2022,23-03-2023,7.01
