customerNr,firm,contact,position,street,city,region,zip,country,phone,fax
1,Bluejam,eleport0@independent.co.uk,Europe/Berlin,15 Prairie Rose Junction,München,Bayern,81543,Germany,+49 618 750 3500,+1 399 138 1280
2,Jaxworks,sgrant1@ovh.net,Europe/Berlin,29 Bartelt Avenue,München,Bayern,81373,Germany,+49 107 563 5967,+373 542 773 9570
3,Blognation,hmosdill2@macromedia.com,Europe/Berlin,0 Crowley Center,München,Bayern,81373,Germany,+49 824 606 2310,+86 394 388 5080
4,Zoomzone,bmeddick3@pen.io,Europe/Berlin,06957 Susan Park,Augsburg,Bayern,86156,Germany,+49 233 207 7065,+351 542 459 6335
5,Rhyzio,ogleeson4@dailymotion.com,Europe/Berlin,0914 Leroy Avenue,Nürnberg,Bayern,90451,Germany,+49 717 838 7174,+86 842 945 5810
6,Flashpoint,bmacoun5@exblog.jp,Europe/Vienna,298 School Trail,Zwettl,Niederösterreich,3923,Austria,+43 319 847 9728,+1 804 447 8241
7,Zoombox,kzanetto6@tinypic.com,Europe/Berlin,714 Texas Place,München,Bayern,81373,Germany,+49 498 226 8207,+48 805 538 3488
8,Zazio,hdeferrari7@mozilla.org,Europe/Berlin,6426 Saint Paul Junction,München,Bayern,80337,Germany,+49 929 897 0468,+86 814 925 7942
9,Skyvu,cpotkin8@facebook.com,Europe/Berlin,154 Maywood Junction,München,Bayern,81679,Germany,+49 761 222 8367,+81 117 537 9570
10,Kazio,mmallabund9@marriott.com,Europe/Berlin,877 Village Hill,München,Bayern,80995,Germany,+49 666 868 2576,+373 961 767 4629
11,Devshare,jnoseworthya@ebay.co.uk,Europe/Berlin,49060 Dunning Road,München,Bayern,80686,Germany,+49 110 574 3330,+1 815 127 1509
12,Topiclounge,northmannb@princeton.edu,Europe/Berlin,8415 Graedel Junction,München,Bayern,80337,Germany,+49 465 716 8562,+63 873 982 9532
13,Talane,gbrutyc@yahoo.co.jp,Europe/Berlin,35400 Harper Court,München,Bayern,81543,Germany,+49 767 220 4199,+81 276 906 2151
14,Cogibox,efrentzd@ebay.com,Europe/Berlin,23977 Grasskamp Drive,München,Bayern,80337,Germany,+49 387 850 7304,+86 622 787 0433
15,Agimba,pkindalle@ted.com,Europe/Berlin,9179 Lakewood Parkway,Nürnberg,Bayern,90480,Germany,+49 561 880 4221,+63 624 166 2677
16,Skyba,lcamierf@wunderground.com,Europe/Vienna,4 Corry Lane,St. Anton an der Jeßnitz,Niederösterreich,3282,Austria,+43 706 106 8652,+86 398 326 4617
17,Yodoo,tduckittg@elpais.com,Europe/Berlin,732 Crowley Road,München,Bayern,80804,Germany,+49 313 595 8838,+1 227 643 9430
18,Zazio,ezealeh@aboutads.info,Europe/Berlin,17 Golf Alley,München,Bayern,81543,Germany,+49 678 523 1405,+60 202 639 0633
19,Youbridge,ehaxbyi@cocolog-nifty.com,Europe/Berlin,6504 Butternut Road,München,Bayern,81543,Germany,+49 996 628 2575,+234 813 196 3377
20,Kazu,dkarpenyaj@unblog.fr,Europe/Berlin,268 Boyd Court,Nürnberg,Bayern,90451,Germany,+49 508 937 1119,+63 846 222 8341
21,Twitterbridge,tuttonk@businesswire.com,Europe/Berlin,6 Mayer Park,München,Bayern,80686,Germany,+49 716 562 0484,+30 601 398 5046
22,Yodel,leldertonl@redcross.org,Europe/Berlin,93737 Talisman Point,München,Bayern,80995,Germany,+49 938 109 8760,+62 242 469 0287
23,Meemm,okuhnwaldm@pcworld.com,Europe/Berlin,13616 Elmside Way,Würzburg,Bayern,97078,Germany,+49 281 888 4885,+62 239 683 3786
24,Fatz,tewingtonn@photobucket.com,Europe/Berlin,7 Beilfuss Lane,Nürnberg,Bayern,90480,Germany,+49 459 132 8627,+62 222 529 0828
25,Jabberstorm,rcushellyo@odnoklassniki.ru,Europe/Berlin,69 Ronald Regan Point,München,Bayern,81373,Germany,+49 864 971 2001,+55 465 950 6035
